dep;sexe;Dc_Elec_Covid_cum;jour
01;0;0;2020-03-06
01;0;0;2020-03-07
01;0;0;2020-03-08
01;0;0;2020-03-09
01;0;0;2020-03-10
01;0;0;2020-03-11
01;0;0;2020-03-12
01;0;0;2020-03-13
01;0;0;2020-03-14
01;0;0;2020-03-15
01;0;0;2020-03-16
01;0;0;2020-03-17
01;0;1;2020-03-18
01;0;2;2020-03-19
01;0;4;2020-03-20
01;0;4;2020-03-21
01;0;4;2020-03-22
01;0;7;2020-03-23
01;0;9;2020-03-24
01;0;11;2020-03-25
01;0;11;2020-03-26
01;0;14;2020-03-27
01;0;16;2020-03-28
01;0;17;2020-03-29
01;0;20;2020-03-30
01;0;23;2020-03-31
01;0;26;2020-04-01
01;0;30;2020-04-02
01;0;35;2020-04-03
01;0;37;2020-04-04
01;0;38;2020-04-05
01;0;42;2020-04-06
01;0;44;2020-04-07
01;0;49;2020-04-08
01;0;56;2020-04-09
01;0;57;2020-04-10
01;0;60;2020-04-11
01;0;63;2020-04-12
01;0;64;2020-04-13
01;0;69;2020-04-14
01;0;70;2020-04-15
01;0;71;2020-04-16
01;0;72;2020-04-17
01;0;73;2020-04-18
01;0;76;2020-04-19
01;0;80;2020-04-20
01;0;81;2020-04-21
01;0;83;2020-04-22
01;0;83;2020-04-23
01;0;83;2020-04-24
01;0;83;2020-04-25
01;0;84;2020-04-26
01;0;86;2020-04-27
01;0;86;2020-04-28
01;0;87;2020-04-29
01;0;88;2020-04-30
01;0;89;2020-05-01
01;0;90;2020-05-02
01;0;90;2020-05-03
01;0;91;2020-05-04
01;0;91;2020-05-05
01;0;91;2020-05-06
01;0;92;2020-05-07
01;0;94;2020-05-08
01;0;94;2020-05-09
01;0;95;2020-05-10
01;0;95;2020-05-11
01;0;95;2020-05-12
01;0;95;2020-05-13
01;0;95;2020-05-14
01;0;95;2020-05-15
01;0;95;2020-05-16
01;0;95;2020-05-17
01;1;0;2020-03-06
01;1;0;2020-03-07
01;1;0;2020-03-08
01;1;0;2020-03-09
01;1;0;2020-03-10
01;1;0;2020-03-11
01;1;0;2020-03-12
01;1;0;2020-03-13
01;1;0;2020-03-14
01;1;0;2020-03-15
01;1;0;2020-03-16
01;1;0;2020-03-17
01;1;0;2020-03-18
01;1;1;2020-03-19
01;1;3;2020-03-20
01;1;3;2020-03-21
01;1;3;2020-03-22
01;1;4;2020-03-23
01;1;5;2020-03-24
01;1;7;2020-03-25
01;1;7;2020-03-26
01;1;9;2020-03-27
01;1;10;2020-03-28
01;1;11;2020-03-29
01;1;13;2020-03-30
01;1;14;2020-03-31
01;1;16;2020-04-01
01;1;18;2020-04-02
01;1;22;2020-04-03
01;1;24;2020-04-04
01;1;25;2020-04-05
01;1;28;2020-04-06
01;1;30;2020-04-07
01;1;32;2020-04-08
01;1;37;2020-04-09
01;1;37;2020-04-10
01;1;37;2020-04-11
01;1;39;2020-04-12
01;1;39;2020-04-13
